monotonic_ns,native_monotonic_ns,native_age_ms,reference_frame,source_time_s,joint,act_raw_rad,saved_reference_rad,native_reference_rad,issued_command_rad,measured_rad
14794534934612224,14794534929215226,5.396998,100,0.0,left_shoulder_pitch_joint,-0.05448535084724426,-0.05448535084724426,-0.05448535084724426,-0.3518381714820862,-0.03482600736944165
14794534934612224,14794534929215226,5.396998,100,0.0,left_shoulder_roll_joint,-0.0232371985912323,-0.0232371985912323,-0.0232371985912323,0.15440598130226135,0.09995621174978173
14794534934612224,14794534929215226,5.396998,100,0.0,left_shoulder_yaw_joint,-0.0134410560131073,-0.0134410560131073,-0.0134410560131073,-0.033811282366514206,-0.06920008004495479
14794534934612224,14794534929215226,5.396998,100,0.0,left_elbow_joint,0.09088770300149918,0.09088770300149918,0.09088770300149918,-0.1867232322692871,0.04245616337239851
14794534934612224,14794534929215226,5.396998,100,0.0,left_wrist_roll_joint,0.26998665928840637,0.26998665928840637,0.26998665928840637,0.18931351602077484,0.15715795400015198
14794534934612224,14794534929215226,5.396998,100,0.0,left_wrist_pitch_joint,-0.3054703176021576,-0.3054703176021576,-0.3054703176021576,-0.33254796266555786,-0.2588772179708764
14794534934612224,14794534929215226,5.396998,100,0.0,left_wrist_yaw_joint,0.29729700088500977,0.29729700088500977,0.29729700088500977,0.34673336148262024,0.31698932601547647
14794534934612224,14794534929215226,5.396998,100,0.0,right_shoulder_pitch_joint,-0.23759275674819946,-0.23759275674819946,-0.23759275674819946,-0.53348308801651,-0.1996848981623874
14794534934612224,14794534929215226,5.396998,100,0.0,right_shoulder_roll_joint,-0.4193398952484131,-0.4193398952484131,-0.4193398952484131,-0.4892171025276184,-0.3359598517369896
14794534934612224,14794534929215226,5.396998,100,0.0,right_shoulder_yaw_joint,0.12933772802352905,0.12933772802352905,0.12933772802352905,-0.026400011032819748,0.014530306460887469
14794534934612224,14794534929215226,5.396998,100,0.0,right_elbow_joint,0.333315908908844,0.333315908908844,0.333315908908844,0.03611494228243828,0.2615294564280917
14794534934612224,14794534929215226,5.396998,100,0.0,right_wrist_roll_joint,-0.7621605396270752,-0.7621605396270752,-0.7621605396270752,-0.8935347199440002,-0.809146794099567
14794534934612224,14794534929215226,5.396998,100,0.0,right_wrist_pitch_joint,-0.2265952080488205,-0.2265952080488205,-0.2265952080488205,-0.168767049908638,-0.15326127179370355
14794534934612224,14794534929215226,5.396998,100,0.0,right_wrist_yaw_joint,-0.46038371324539185,-0.46038371324539185,-0.46038371324539185,-0.43000462651252747,-0.3625424447123762
14794534934612224,14794534929215226,5.396998,100,0.0,left_hand_thumb_0_joint,-0.3014984726905823,-0.3014984726905823,-0.3014984726905823,-0.3014984726905823,-0.20820928904373037
14794534934612224,14794534929215226,5.396998,100,0.0,left_hand_thumb_1_joint,0.9155522584915161,0.9155522584915161,0.9155522584915161,0.9155522584915161,0.7883423599440499
14794534934612224,14794534929215226,5.396998,100,0.0,left_hand_thumb_2_joint,0.4183441996574402,0.4183441996574402,0.4183441996574402,0.4183441996574402,0.3282962846831157
14794534934612224,14794534929215226,5.396998,100,0.0,left_hand_middle_0_joint,-0.12262701988220215,-0.12262701988220215,-0.12262701988220215,-0.12262701988220215,-0.05517418919245761
14794534934612224,14794534929215226,5.396998,100,0.0,left_hand_middle_1_joint,-1.6054117679595947,-1.6054117679595947,-1.6054117679595947,-1.6054117679595947,-1.456182516028001
14794534934612224,14794534929215226,5.396998,100,0.0,left_hand_index_0_joint,-0.1962454617023468,-0.1962454617023468,-0.1962454617023468,-0.1962454617023468,-0.1254330599420217
14794534934612224,14794534929215226,5.396998,100,0.0,left_hand_index_1_joint,-1.08224356174469,-1.08224356174469,-1.08224356174469,-1.08224356174469,-0.9605792810730086
14794534934612224,14794534929215226,5.396998,100,0.0,right_hand_thumb_0_joint,-0.5219671726226807,-0.5219671726226807,-0.5219671726226807,-0.5219671726226807,-0.4240756037423094
