joint,group,native_minus_saved_rms_rad,native_minus_saved_maxabs_rad,native_minus_saved_mean_bias_rad,native_minus_saved_rms_deg,native_minus_saved_maxabs_deg,native_minus_saved_mean_bias_deg,raw_to_reference_rms_rad,raw_to_reference_maxabs_rad,raw_to_reference_mean_bias_rad,raw_to_reference_rms_deg,raw_to_reference_maxabs_deg,raw_to_reference_mean_bias_deg,reference_to_command_rms_rad,reference_to_command_maxabs_rad,reference_to_command_mean_bias_rad,reference_to_command_rms_deg,reference_to_command_maxabs_deg,reference_to_command_mean_bias_deg,raw_to_command_rms_rad,raw_to_command_maxabs_rad,raw_to_command_mean_bias_rad,raw_to_command_rms_deg,raw_to_command_maxabs_deg,raw_to_command_mean_bias_deg,reference_to_measured_rms_rad,reference_to_measured_maxabs_rad,reference_to_measured_mean_bias_rad,reference_to_measured_rms_deg,reference_to_measured_maxabs_deg,reference_to_measured_mean_bias_deg,raw_to_measured_rms_rad,raw_to_measured_maxabs_rad,raw_to_measured_mean_bias_rad,raw_to_measured_rms_deg,raw_to_measured_maxabs_deg,raw_to_measured_mean_bias_deg
left_shoulder_pitch_joint,left_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0052996510726615815,0.09414624720811837,0.00047315422697192714,0.3036476393554882,5.394182622020493,0.027109740264266446,0.37860984756187466,0.5806965939700603,-0.37529314501819216,21.69274634738688,33.27146401210647,-21.502713289733567,0.37811519598167587,0.5806965947151185,-0.37481999079122025,21.66440489951201,33.27146405479515,-21.4756035494693,0.0782471270361464,0.15187462123775503,-0.05694657325039035,4.483230138195188,8.701774812071301,-3.262798304979957,0.07801996687454107,0.15187462123775505,-0.05647341902341842,4.470214819661692,8.701774812071303,-3.2356885647156903
left_shoulder_roll_joint,left_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.019414675357563773,0.24713809937238684,-0.0022736743586318966,1.1123789586050465,14.159970050922505,-0.13027194473672202,0.23193996009405096,0.3565903417766094,0.22494890178508958,13.289180813821856,20.43112159892728,12.888622678388503,0.22969435418034576,0.33448776602745056,0.22267522742645765,13.16051707251693,19.164737292132276,12.75835073365178,0.174118443600172,0.2898571953869611,0.15390534075234602,9.976251953676515,16.607593957171744,8.81812646963222,0.17298980105082615,0.2898571924067288,0.15163166639371412,9.911585499020111,16.607593786417013,8.6878545248955
left_shoulder_yaw_joint,left_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.003323087461175438,0.05033572614192944,7.446025984486336e-06,0.1903988864781964,2.884024666658883,0.0004266258630558108,0.1705274300372901,0.36584431678056717,-0.10453752353664393,9.770502032349144,20.96133531037362,-5.989558899399205,0.1707074807570286,0.36584431752562524,-0.10453007751065946,9.780818178688454,20.961335353062303,-5.98913227353615,0.2070483005370646,0.3746967604710614,-0.17428868068848252,11.862993776130057,21.468542972216152,-9.986005820353304,0.20723155961504935,0.3746967589809453,-0.1742812346624981,11.873493747856044,21.46854288683879,-9.985579194490251
left_elbow_joint,left_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.005878221477206789,0.09257861971855152,-5.876138451884143e-05,0.33679728168710527,5.304364183019624,-0.0033667793312749878,0.2218199181904159,0.3307251799851656,-0.21826113518333878,12.70934512424803,18.949156991854515,-12.505441877739633,0.22191195015863616,0.34594519026577486,-0.2183198965678576,12.71461816760733,19.82119934507915,-12.508808657070908,0.04212008168895454,0.1454994826757543,-0.00019275311772637256,2.4133029135233555,8.33650627865756,-0.011043940133709441,0.043364893701175654,0.1798723461181404,-0.00025151450224521497,2.4846253881108127,10.305926283685801,-0.014410719464984486
left_wrist_roll_joint,left_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.01082332540391796,0.16994450688362117,-0.0009882651795628365,0.6201308659412261,9.73710299586346,-0.05662342382868899,0.13894061363368185,0.2551230862736702,-0.1245268977522667,7.9607107641677946,14.617476099833286,-7.13486567706202,0.1398846455811957,0.25512309819459916,-0.12551516293182952,8.014799810485854,14.617476782852204,-7.191489100890707,0.14925281092095985,0.2632898701177019,-0.13447999410316105,8.55155614623508,15.08539834629193,-7.705136091055326,0.15075453826525495,0.3361813882837751,-0.1354682592827239,8.637598785042579,19.261774699509093,-7.761759514884017
left_wrist_pitch_joint,left_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.00192391954975739,0.044786155223846436,-0.00010917449861901758,0.11023247032380804,2.5660576749441852,-0.006255238001326542,0.06944782666675461,0.12959763407707214,-0.025042098378734005,3.979067364361131,7.425397467497049,-1.43480654725286,0.06937177701618943,0.12959764003753665,-0.025151272877353026,3.9747100403503017,7.42539780900651,-1.4410617852541865,0.053866393959309956,0.12706427727388048,0.025089945678042815,3.086317031457453,7.280246814673413,1.437547995564354,0.05370959115441079,0.1270642742936483,0.024980771179423805,3.0773328925209174,7.280246643918687,1.4312927575630277
left_wrist_yaw_joint,left_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0018658368412101554,0.04024546742439261,0.000126998401042017,0.10690457626136306,2.3058954279489363,0.00727647238461741,0.1570124682602344,0.2677067220211029,0.14230752604400612,8.996151762243226,15.338465319091132,8.153620635269595,0.1571143528669236,0.26770673394203187,0.14243452444504812,9.001989320203869,15.33846600211005,8.160897107654211,0.1454120602054654,0.25313452026547045,0.1234418257346077,8.331497340075398,14.503539660280264,7.072695629982414,0.14552875895855294,0.2531345202654705,0.1235688241356497,8.338183686101752,14.503539660280268,7.07997210236703
right_shoulder_pitch_joint,right_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.08396806036379617,0.6159904778003693,-0.0010154332816905776,4.811015472745252,35.29365459820819,-0.058180041417988944,0.35110191473654884,0.5360516905784607,-0.34736749886734336,20.11665789336633,30.713499470998514,-19.90269162511418,0.3616408452837259,0.9566126644611359,-0.34838293214903393,20.720494134301077,54.80986830238744,-19.960871666532167,0.12036396811902365,0.26815465171847586,0.07419035800342358,6.896347378667249,15.364129800269174,4.2507943941608,0.15600241798450035,0.5539089998206694,0.073174924721733,8.93828014434764,31.736647924037033,4.192614352742811
right_shoulder_roll_joint,right_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.0060165241289119094,0.08559044003486632,1.1304649262245122e-05,0.34472143992527643,4.903970980665395,0.0006477086916023252,0.23972233918592623,0.4423375725746155,-0.21749784534333794,13.735078290357164,25.344076028587217,-12.461708591362369,0.2398160648569405,0.4423375725746156,-0.21748654069407572,13.740448375738312,25.344076028587224,-12.461060882670768,0.11361579013822035,0.22876901960328044,-0.07251756427744703,6.509705260964106,13.107499306613564,-4.15495037366638,0.11422037051115214,0.228769013642816,-0.07250625962818477,6.544345164709543,13.107498965104107,-4.154302664974777
right_shoulder_yaw_joint,right_arm,0.0,0.0,0.0,0.0,0.0,0.0,0.02511894893467108,0.24928517937660216,0.004192569350893223,1.4392097597612883,14.282988673440974,0.24021652912208477,0.17825837284937143,0.38386957347393036,-0.0998610413413355,10.213452427138407,21.99410644354327,-5.721616206639958,0.17493050244675515,0.38386957347393036,-0.09566847199044227,10.022779498301992,21.99410644354327,-5.481399677517873,0.13635890806198706,0.26715463856785227,0.013016483840049987,7.812789930964274,15.306833267280862,0.7457895881351031,0.13785036784761445,0.28924222727726573,0.01720905319094322,7.89824428199421,16.572358879951064,0.9860061172571886
