hand,comparison,position_rms_m,position_mean_m,position_p95_m,position_max_m,orientation_rms_deg,orientation_mean_deg,orientation_p95_deg,orientation_max_deg
left,act_to_reference,0.003948917450860001,0.0005335293529790505,9.248354207325252e-09,0.06147817938051282,1.7623951064098584,0.22095866985131135,2.8173856116736274e-06,24.931073268030982
left,reference_to_issued,0.1504456346859494,0.14894672577114976,0.19538987764422652,0.221893926046888,37.63591941839675,37.49458456933933,42.81645589590216,48.63519398645088
left,act_to_issued,0.15030384227145271,0.148793263547795,0.19540048769297552,0.22190919712541327,37.60720853298209,37.46649540906387,42.81645635483557,48.63519335852967
left,reference_to_measured,0.019084509943880598,0.01680732239196513,0.03274960003781131,0.03827703701110662,6.244498963753777,5.703022501893287,10.610624611471358,11.658984735811922
left,act_to_measured,0.01975359921803751,0.017148713754311522,0.033652502513054,0.07179450727710553,6.5035888342884896,5.838481538116049,10.639818543887065,25.073704777787487
right,act_to_reference,0.024363043603881807,0.006909809250428693,0.06696067205204785,0.1390941959064698,3.6304404791896294,1.0870298364729496,10.023521290617788,29.846363897372058
right,reference_to_issued,0.21403518467456745,0.2087268953686378,0.28926319934195394,0.3241238732931174,43.14977933716462,42.67640591041028,54.05613372551195,61.002367303654076
right,act_to_issued,0.21343121197226056,0.2079429191174691,0.2897446252843973,0.3380657890717432,43.15878783800499,42.660218510866144,54.609765627108835,61.806011554589084
right,reference_to_measured,0.028278452599918482,0.02605590595060343,0.04966603032644368,0.05535163132562928,7.638820250075804,7.258061185356028,11.271028809206056,12.393912797973236
right,act_to_measured,0.038398719507340674,0.030938608686797885,0.0825084490144038,0.14746090024496566,8.469599453607,7.889557294266393,11.822190903471498,31.986840059766507
