monotonic_ns,reference_frame,source_time_s,hand,stage,world_x_m,world_y_m,world_z_m,world_qw,world_qx,world_qy,world_qz,torso_x_m,torso_y_m,torso_z_m,torso_qw,torso_qx,torso_qy,torso_qz
14794534934612224,100,0.0,left,act_raw,0.19373113401510897,0.16839473513567588,0.8857447608266654,0.9746158288040184,0.11405461440189345,-0.15063955378701638,0.12009686096289265,0.2497340219112724,0.14524603100966213,0.062238492390414055,0.9775673540055716,0.09860595643223939,-0.15030706719930612,0.10975754775217929
14794534934612224,100,0.0,left,native_reference,0.19373113401510897,0.16839473513567588,0.8857447608266654,0.9746158288040184,0.11405461440189345,-0.15063955378701638,0.12009686096289265,0.2497340219112724,0.14524603100966213,0.062238492390414055,0.9775673540055716,0.09860595643223939,-0.15030706719930612,0.10975754775217929
14794534934612224,100,0.0,left,issued_command,0.20761418300244938,0.16727625259499695,1.0211840168700828,0.8870738869086114,0.09958236415658676,-0.43967095816927215,0.09936156428089682,0.26365701354799564,0.14753277385363123,0.19765896071415873,0.889603104998781,0.08167239629617837,-0.43939898001058647,0.0941513230147275
14794534934612224,100,0.0,left,measured,0.19034671648747656,0.18306514464117943,0.8889568564011298,0.9762980691264856,0.11766400657130137,-0.1430029086224799,0.11201531102039093,0.24672555678741992,0.16008125664069944,0.06504170003787514,0.9791958696001141,0.10228776146177351,-0.14282966908838768,0.10154973383183677
14794534934612224,100,0.0,right,act_raw,0.2359140128677797,-0.17968956097059063,0.8817195834737364,0.8326168962053554,-0.5182528784412533,-0.18436224444816265,-0.06460356772463603,0.28304787445572,-0.20377635546825393,0.06788078649153814,0.8244735846692225,-0.532065252162655,-0.17855642936290197,-0.07257738736647491
14794534934612224,100,0.0,right,native_reference,0.2359140128677797,-0.17968956097059063,0.8817195834737364,0.8326168962053554,-0.5182528784412533,-0.18436224444816265,-0.06460356772463603,0.28304787445572,-0.20377635546825393,0.06788078649153814,0.8244735846692225,-0.532065252162655,-0.17855642936290197,-0.07257738736647491
14794534934612224,100,0.0,right,issued_command,0.25283789033526405,-0.1778841748321091,1.039487727023484,0.7076845327761659,-0.5313370718716832,-0.4141933328088216,-0.21285535271852093,0.30009709212993774,-0.19802568302223747,0.2255409213065666,0.6975172347998964,-0.5463509304074713,-0.4102489973032414,-0.21602344366221285
14794534934612224,100,0.0,right,measured,0.23256404156637278,-0.18542762358460183,0.8831752237064199,0.8431509946980462,-0.51162665265074,-0.13663627201740222,-0.09308650603755816,0.27955382825656777,-0.2093847458207773,0.0694945267375141,0.8347310213953222,-0.5249819015500655,-0.1313174446810595,-0.1018521167557938
14794534954517462,101,0.020000000000000018,left,act_raw,0.19403915377939907,0.16813651490513648,0.8857600883039616,0.9745983538032086,0.11393362337591087,-0.15042043805190944,0.12062698721589636,0.24962228124211266,0.14512523472316283,0.06224522218473154,0.9775224154963748,0.09852504417854852,-0.15023251806627003,0.11033101733971307
14794534954517462,101,0.020000000000000018,left,native_reference,0.1940391539315668,0.16813651493661616,0.8857600887600375,0.9745983537981441,0.11393362033003848,-0.1504204405922797,0.12062698696586463,0.24962228139513268,0.14512523476336955,0.06224522263983543,0.9775224154458738,0.09852504110107706,-0.150232520571017,0.11033101712471752
14794534954517462,101,0.020000000000000018,left,issued_command,0.20736970962120516,0.16658991971171774,1.019574342353089,0.887539057845564,0.0963311085266672,-0.43933632963017044,0.09989158020435017,0.2629394822446788,0.14694098428335672,0.19605742444394303,0.8899540029920389,0.07846598981063847,-0.4391554940714175,0.09469642563672508
14794534954517462,101,0.020000000000000018,left,measured,0.19116906404577755,0.18281368851048574,0.8895965878977501,0.9757594496644504,0.11880690357916615,-0.1446456796732369,0.11338449366790221,0.2471262558068699,0.15997092500410634,0.06567318168896441,0.9786591780628743,0.10345511328211585,-0.1446207813139427,0.10299554524943466
